İlçe,Tarih,PM10 (µg/m3),PM2.5 (µg/m3),SO2 (µg/m3),CO (µg/m3),NO2 (µg/m3),NOX (µg/m3),NO (µg/m3),O3 (µg/m3),Maks_Sıcaklik_C,Toplam_Yağış_mm,Maks_Rüzgar_Hızı_kmh,average_traffic_index,Ay,Durum,Sağlık_Risk_Durumu
Kağıthane,03.04.2016,37.75,21.86,2.77,,21.45,33.09,8.02,38.46,13.8,0.0,23.4,18.460264024040526,4,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,04.04.2016,37.75,21.86,4.96,,40.24,63.0,14.88,26.17,16.0,0.0,19.5,23.477663484986408,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,05.04.2016,37.75,21.86,5.04,,58.21,129.98,46.91,21.17,19.2,0.0,16.0,25.73134779763863,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,06.04.2016,37.74,21.86,6.53,,70.42,166.38,62.75,15.74,21.6,0.0,11.3,25.963119441400547,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,07.04.2016,37.74,21.85,10.15,,81.06,271.21,124.28,14.89,22.9,0.0,14.4,26.20968589311389,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,08.04.2016,37.74,21.85,7.16,,62.44,156.64,61.57,8.9,22.8,0.0,10.7,59.42857142857143,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,09.04.2016,37.74,21.85,10.24,,68.5,309.47,157.48,16.57,23.0,0.1,11.8,31.0,4,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,10.04.2016,37.73,21.85,6.49,,36.9,55.62,12.24,30.53,19.4,0.0,21.5,50.35802469135802,4,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,11.04.2016,37.73,21.85,5.04,,38.6,60.08,14.04,30.84,18.9,0.0,16.9,35.9812030075188,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,12.04.2016,37.73,21.85,3.96,,40.82,78.76,24.79,17.89,17.5,0.0,7.5,38.755102040816325,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,13.04.2016,37.71,21.85,6.6,,49.11,194.08,94.73,14.06,19.6,0.0,15.5,36.79858657243816,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,14.04.2016,37.71,21.85,9.89,,59.7,97.71,24.85,21.56,21.9,0.0,20.3,37.87456445993031,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,15.04.2016,37.71,21.84,8.15,,54.0,100.92,30.67,23.24,20.2,0.5,14.0,38.41811846689896,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,16.04.2016,37.7,21.83,7.59,,59.68,195.49,88.75,20.56,23.0,0.0,11.2,36.49650349650349,4,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,17.04.2016,37.69,21.83,10.41,,64.64,185.8,79.19,27.03,22.7,0.0,15.5,26.55749128919861,4,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,18.04.2016,37.69,21.83,16.77,,81.66,146.52,42.39,19.13,24.5,0.0,14.8,32.09122807017544,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,19.04.2016,37.68,21.83,19.66,,87.54,165.1,50.7,15.85,24.3,0.0,13.3,37.11458333333333,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,20.04.2016,37.67,21.83,12.3,,55.32,176.59,79.27,26.31,24.3,1.4,32.6,40.01766784452297,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,21.04.2016,37.67,21.83,2.61,,25.56,41.06,10.12,41.87,15.5,1.5,18.8,39.31010452961672,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,22.04.2016,37.66,21.83,5.21,,57.62,131.82,48.5,23.46,19.7,0.0,15.5,41.90492957746479,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,23.04.2016,37.66,21.82,11.72,,67.81,231.4,106.91,14.29,19.6,0.0,13.0,25.847222222222225,4,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,24.04.2016,37.65,21.82,12.05,,54.67,183.72,84.33,24.56,20.9,1.4,18.5,26.65853658536585,4,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,25.04.2016,37.65,21.82,7.64,,31.44,48.02,10.84,34.1,19.8,5.8,24.6,32.49305555555556,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,26.04.2016,37.65,21.82,8.98,,35.85,57.66,14.89,26.34,17.4,3.6,21.8,38.57491289198607,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,27.04.2016,37.64,21.81,5.1,,38.92,109.79,46.32,21.38,16.9,0.0,11.3,38.846689895470384,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,28.04.2016,37.64,21.81,8.69,,58.38,201.91,93.8,18.37,19.2,0.0,11.8,40.18531468531469,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,29.04.2016,37.64,21.81,7.29,,53.88,175.26,79.32,22.59,19.5,0.0,15.3,38.30902777777778,4,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,30.04.2016,37.63,21.81,5.22,,25.43,34.89,7.76,35.51,17.6,0.0,22.8,41.40625,4,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,01.05.2016,37.62,21.8,3.81,,19.04,26.28,5.09,45.59,17.6,0.0,26.0,14.041811846689896,5,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,02.05.2016,37.62,21.8,4.17,,24.05,39.82,9.7,46.37,18.5,0.6,19.4,29.58041958041958,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,03.05.2016,37.62,21.8,6.71,,36.15,61.44,17.39,32.12,21.1,4.5,16.5,37.22996515679442,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,04.05.2016,37.61,21.8,5.33,,36.86,53.03,10.57,33.89,17.9,4.8,19.9,36.72916666666666,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,05.05.2016,37.6,21.79,5.06,,35.7,55.31,12.82,23.97,16.2,8.3,15.8,38.80419580419581,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,06.05.2016,37.6,21.79,3.47,,30.72,48.5,11.62,33.72,16.7,0.9,15.1,42.25087108013937,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,07.05.2016,37.59,21.78,3.77,,45.08,104.69,38.96,24.14,18.4,0.0,13.7,38.79094076655052,5,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,08.05.2016,37.59,21.78,3.8,,38.63,86.42,31.42,27.0,20.4,0.0,16.1,34.14385964912281,5,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,09.05.2016,37.59,21.77,2.52,,23.92,36.85,8.93,43.93,20.1,0.0,18.8,33.40282685512368,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,10.05.2016,37.58,21.77,2.7,,27.67,39.68,8.84,42.46,18.5,0.0,14.8,37.49454545454546,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,11.05.2016,37.58,21.77,4.11,,61.96,138.32,49.91,12.54,20.2,0.0,8.1,37.03819444444445,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,12.05.2016,37.58,21.77,8.92,,74.62,236.9,106.06,14.48,24.3,0.2,15.3,40.48432055749129,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,13.05.2016,37.57,21.77,10.67,,41.42,83.77,27.68,27.06,25.4,0.1,26.9,41.35971223021584,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,14.05.2016,37.57,21.77,12.32,,40.53,58.06,11.46,33.75,25.6,0.0,26.0,38.93379790940767,5,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,15.05.2016,37.57,21.77,11.44,,21.18,29.95,6.04,48.64,25.2,1.1,25.3,31.20141342756184,5,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,16.05.2016,37.56,21.76,7.1,,38.93,60.5,14.72,36.85,23.6,0.0,19.7,35.03472222222222,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,17.05.2016,37.55,21.75,3.53,,26.34,49.13,15.6,37.65,18.3,0.1,19.7,39.2962962962963,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,18.05.2016,37.55,21.75,2.92,,32.8,49.66,11.02,37.48,18.7,0.0,16.8,42.04895104895105,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,19.05.2016,37.54,21.75,5.41,,52.2,188.77,89.24,24.87,20.9,0.0,15.3,18.77777777777777,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,20.05.2016,37.54,21.75,9.59,,61.45,192.68,85.76,32.73,23.8,0.0,17.7,28.70422535211268,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,21.05.2016,37.53,21.75,5.31,,39.62,58.03,12.03,37.59,23.1,0.2,22.0,29.27177700348432,5,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,22.05.2016,37.53,21.74,2.84,,10.95,17.55,4.02,56.83,18.9,7.2,31.5,21.603508771929825,5,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,23.05.2016,37.53,21.74,4.17,,46.19,70.02,15.57,43.0,22.0,0.5,17.3,30.013937282229964,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,24.05.2016,37.53,21.74,8.59,,56.35,97.4,26.81,36.95,24.1,0.0,17.4,38.63541666666666,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,25.05.2016,37.52,21.74,8.33,,36.2,49.86,9.38,44.64,21.7,1.4,25.2,39.39236111111112,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,26.05.2016,37.52,21.74,5.6,,28.84,42.48,9.34,43.06,19.9,7.5,25.6,38.21254355400697,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,27.05.2016,37.52,21.73,5.19,,36.43,78.49,27.5,29.83,18.4,14.0,17.3,47.35069444444445,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,28.05.2016,37.52,21.73,3.93,,31.76,52.49,13.55,43.92,21.7,0.0,11.8,40.167247386759584,5,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,29.05.2016,37.52,21.73,10.61,,46.84,135.06,57.67,28.99,24.6,0.0,18.0,28.91289198606272,5,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,30.05.2016,37.52,21.73,18.34,,57.14,84.59,17.94,31.37,27.1,0.0,16.9,41.51929824561404,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,31.05.2016,37.52,21.72,22.53,,58.72,102.07,27.46,28.6,28.2,0.0,16.1,41.1219512195122,5,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,01.06.2016,37.51,21.72,18.01,,55.66,116.55,39.79,25.37,26.7,0.0,10.4,38.89236111111112,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,02.06.2016,37.5,21.72,17.65,,48.16,152.65,68.29,36.75,29.3,0.0,17.2,42.16376306620209,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,03.06.2016,37.48,21.72,11.29,,36.25,60.04,15.56,44.83,25.7,0.0,23.9,43.95185185185185,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,04.06.2016,37.48,21.72,6.37,,41.98,143.16,66.13,17.25,24.7,1.8,12.6,40.34722222222222,6,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,05.06.2016,37.48,21.71,6.09,,23.08,68.71,29.82,36.73,24.2,0.1,13.4,21.07317073170732,6,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,06.06.2016,37.48,21.7,9.54,,40.73,80.03,25.68,28.85,26.3,0.0,11.2,29.275261324041807,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,07.06.2016,37.48,21.7,3.73,,28.47,45.2,10.93,36.53,20.7,2.4,32.2,35.73776223776224,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,08.06.2016,37.47,21.7,3.11,,17.91,32.46,8.56,54.29,19.7,0.0,28.7,30.71328671328672,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,09.06.2016,37.47,21.7,3.95,,32.88,69.37,23.85,38.46,20.4,0.0,22.0,29.961130742049477,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,10.06.2016,37.46,21.7,5.08,,27.07,62.92,23.44,41.96,23.2,0.0,21.1,32.68402777777778,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,11.06.2016,37.45,21.69,12.76,,49.08,95.06,30.05,27.74,25.8,0.0,11.8,23.23958333333333,6,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,12.06.2016,37.44,21.69,19.52,,52.25,134.19,53.54,35.56,28.5,0.0,15.6,10.477351916376303,6,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,13.06.2016,37.44,21.68,22.43,,68.12,148.72,52.68,32.71,29.9,0.0,15.9,28.76388888888889,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,14.06.2016,37.43,21.68,16.83,,34.0,51.41,11.9,40.37,24.7,0.7,23.9,39.58536585365854,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,15.06.2016,37.43,21.68,16.38,,35.91,53.68,11.62,33.67,27.1,2.2,21.0,33.86013986013986,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,16.06.2016,37.43,21.68,22.95,,55.52,96.4,26.7,29.3,29.3,0.0,15.7,35.51578947368421,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,17.06.2016,37.42,21.68,26.45,,52.91,157.9,68.61,30.22,31.4,0.0,13.2,36.167247386759584,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,18.06.2016,37.42,21.68,25.33,,46.34,117.84,46.73,33.94,33.7,0.0,18.6,26.52482269503546,6,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,19.06.2016,37.42,21.68,24.7,,25.9,43.26,11.35,,32.5,0.0,21.7,15.052083333333332,6,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,20.06.2016,37.41,21.67,24.91,,18.4,31.79,9.2,,32.1,0.0,24.5,34.48780487804878,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,21.06.2016,37.41,21.67,15.57,,24.34,59.93,24.27,,32.0,0.0,28.5,35.19649122807017,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,22.06.2016,37.41,21.67,2.86,,14.65,28.12,8.81,54.27,30.4,0.0,29.3,34.07317073170732,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,23.06.2016,37.4,21.66,2.52,,13.72,24.58,7.49,55.08,30.8,0.0,28.6,34.1941391941392,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,24.06.2016,37.4,21.66,3.15,,15.3,26.03,7.41,56.26,31.2,0.0,33.6,37.602787456446,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,26.06.2016,37.39,21.66,18.57,,7.67,12.53,3.42,65.69,30.6,0.0,24.1,15.180555555555555,6,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,27.06.2016,37.39,21.65,12.06,,21.54,35.59,9.61,,29.1,0.0,15.5,34.21254355400697,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,28.06.2016,37.39,21.65,4.63,,32.64,72.14,25.81,35.4,29.3,0.8,13.3,39.22996515679442,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,29.06.2016,37.38,21.65,4.26,,24.59,55.45,20.17,51.73,26.3,3.8,15.5,38.10801393728223,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,30.06.2016,37.38,21.65,27.68,,30.58,52.46,14.31,38.19,26.1,2.5,12.3,46.11721611721612,6,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,01.07.2016,37.38,21.65,5.42,,36.06,132.37,62.91,32.66,30.0,0.0,12.6,33.276,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,02.07.2016,37.37,21.64,3.35,,24.97,50.24,16.51,52.99,29.8,0.0,17.6,23.444055944055943,7,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,03.07.2016,37.37,21.64,4.7,,8.89,15.66,4.25,81.74,27.8,0.0,22.1,8.91637630662021,7,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,04.07.2016,37.35,21.64,4.86,,9.56,17.86,5.19,82.25,29.8,0.0,23.9,6.71326164874552,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,05.07.2016,37.35,21.64,4.47,,9.02,16.04,4.22,77.54,26.2,1.7,28.1,19.72822299651568,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,06.07.2016,37.35,21.64,4.37,,13.62,23.02,6.18,73.97,27.7,0.0,20.9,12.559027777777777,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,07.07.2016,37.34,21.64,4.96,,7.03,11.85,3.38,81.71,27.2,0.7,25.0,7.423611111111111,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,08.07.2016,37.34,21.64,3.59,,8.82,13.69,3.4,86.48,27.5,0.1,29.3,7.181184668989547,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,09.07.2016,37.33,21.64,3.91,,17.3,29.13,7.73,62.12,27.0,0.0,21.2,7.5902777777777795,7,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,10.07.2016,37.33,21.63,3.94,,23.06,51.41,18.52,50.74,28.5,0.0,26.0,6.222222222222222,7,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,11.07.2016,37.33,21.63,2.45,,26.99,58.06,20.31,52.94,27.1,0.0,27.3,19.904929577464788,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,12.07.2016,37.33,21.63,2.85,,16.29,26.4,6.96,71.95,28.4,0.0,29.3,27.540069686411147,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,13.07.2016,37.31,21.63,3.76,,14.76,25.36,7.32,72.76,29.6,0.0,18.3,31.425087108013937,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,14.07.2016,37.3,21.63,3.79,,21.28,36.23,9.77,60.3,30.2,0.0,13.9,33.03484320557491,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,15.07.2016,37.3,21.63,3.85,,24.7,48.87,15.8,43.72,30.7,0.0,20.0,35.69847328244275,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,16.07.2016,37.3,21.63,4.8,,10.52,16.75,4.07,69.51,33.7,0.0,20.0,22.57471264367816,7,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,17.07.2016,37.3,21.62,5.05,,7.09,12.32,3.42,60.72,31.0,0.0,13.8,15.787456445993032,7,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,18.07.2016,37.28,21.62,3.19,,16.68,29.54,8.06,56.1,27.6,0.4,24.5,37.95470383275261,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,19.07.2016,37.28,21.62,2.62,,22.33,46.21,15.61,45.54,26.7,0.0,26.4,33.609756097560975,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,20.07.2016,37.28,21.62,2.36,,26.02,43.13,11.18,41.53,24.9,0.4,29.2,33.59440559440559,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,21.07.2016,37.27,21.62,2.05,,23.92,48.62,16.14,51.14,27.9,0.0,20.4,32.66202090592334,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,22.07.2016,37.26,21.61,4.15,,35.24,90.67,36.23,41.9,29.8,0.0,17.1,35.79298245614035,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,23.07.2016,37.26,21.61,4.53,,36.84,83.68,30.61,47.96,30.7,0.0,19.2,27.81184668989547,7,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,24.07.2016,37.25,21.6,3.86,,29.12,47.6,12.08,56.44,31.3,0.0,21.7,14.133333333333333,7,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,25.07.2016,37.25,21.6,3.88,,20.5,34.12,8.9,60.26,29.7,0.0,29.4,29.076655052264808,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,26.07.2016,37.25,21.6,3.13,,16.05,26.72,6.98,77.86,29.4,0.0,32.3,30.7887323943662,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,27.07.2016,37.24,21.59,3.37,,16.95,27.33,6.78,81.54,29.3,0.0,29.9,33.54964539007092,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,28.07.2016,37.24,21.59,4.08,,17.34,27.31,6.52,86.24,30.0,0.0,28.8,34.94736842105263,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,29.07.2016,37.23,21.59,5.21,,16.87,27.09,6.68,86.96,30.4,0.0,29.0,36.31228070175439,7,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,30.07.2016,37.23,21.59,5.21,,20.15,33.28,8.58,66.26,30.1,0.3,22.7,30.377622377622377,7,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,31.07.2016,37.23,21.59,25.89,,20.06,26.93,4.88,73.48,31.8,0.0,24.5,16.1859649122807,7,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,01.08.2016,37.23,21.58,7.4,,20.05,32.24,7.94,81.93,32.1,0.0,20.0,32.908759124087595,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,02.08.2016,37.22,21.58,5.94,,20.79,36.16,10.05,64.53,31.2,0.0,17.5,32.223404255319146,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,03.08.2016,37.22,21.58,4.94,,19.36,30.66,7.38,65.9,30.1,0.3,24.2,34.63636363636364,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,04.08.2016,37.22,21.57,4.56,,14.93,23.29,5.47,95.54,29.0,0.5,30.3,36.32508833922261,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,05.08.2016,37.21,21.57,5.82,,16.49,25.66,5.99,93.99,30.9,0.0,30.9,37.324909747292416,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,06.08.2016,37.21,21.57,6.35,,17.35,27.2,6.44,92.76,30.4,0.0,26.2,29.024475524475523,8,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,07.08.2016,37.21,21.57,5.08,,13.13,19.49,4.15,75.16,31.8,0.0,22.3,12.585365853658535,8,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,08.08.2016,37.2,21.57,4.84,,12.7,21.79,5.94,70.29,30.4,0.0,32.6,28.33217993079585,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,09.08.2016,37.2,21.56,6.24,,15.34,29.53,9.28,92.37,31.3,0.0,32.1,29.48175182481752,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,10.08.2016,37.2,21.56,3.28,,15.92,24.76,5.78,72.13,30.6,0.0,29.0,31.919732441471567,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,11.08.2016,37.2,21.56,3.28,,30.57,49.94,12.66,54.87,33.0,0.0,24.5,34.99644128113879,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,12.08.2016,37.19,21.55,3.94,,27.95,44.3,10.68,59.2,29.3,0.6,36.0,38.289198606271775,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,13.08.2016,37.19,21.55,2.95,,16.0,27.69,7.64,62.42,21.9,10.8,39.9,31.08127208480565,8,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,14.08.2016,37.19,21.55,2.24,,19.12,30.04,7.14,75.9,25.2,0.0,30.3,16.489583333333332,8,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,15.08.2016,37.18,21.55,3.08,,38.3,59.92,14.13,56.61,26.5,0.0,33.9,31.472027972027966,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,18.08.2016,37.18,21.55,3.53,,45.28,81.5,23.67,48.97,30.6,0.0,27.0,38.14946619217081,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,19.08.2016,37.17,21.55,3.33,,31.42,50.92,12.74,65.0,30.0,0.0,29.0,35.647887323943664,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,20.08.2016,37.16,21.55,2.66,,30.0,49.65,12.85,66.75,29.0,0.0,28.4,32.46478873239437,8,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,21.08.2016,37.16,21.54,2.75,,24.16,38.07,9.09,75.06,29.4,0.5,21.9,19.23508771929824,8,Hafta Sonu,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,22.08.2016,37.15,21.53,3.96,,43.73,68.6,16.26,52.91,30.4,0.1,14.9,30.923344947735192,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,23.08.2016,37.15,21.53,2.1,,33.52,54.84,13.94,63.53,28.3,0.4,20.6,35.01045296167248,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,24.08.2016,37.14,21.53,2.5,,31.31,51.45,13.16,57.18,27.3,0.4,26.6,37.09963099630996,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,25.08.2016,37.14,21.52,2.64,,23.99,41.6,11.51,65.19,25.6,2.4,32.6,42.059649122807016,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
Kağıthane,26.08.2016,37.14,21.52,1.89,,25.21,43.62,12.04,68.44,24.7,1.0,30.5,37.83450704225352,8,Hafta İçi,Orta Risk (Hassas Gruplar Dikkat)
